time(ms),Red,IR
2988.011248,3325.8125,7740.625
2995.832724,3329.375,7748.0
3003.6542,3328.375,7751.25
3011.475676,3331.5,7756.8125
3019.297152,3332.0625,7763.6875
3027.118628,3333.9375,7767.5625
3034.940104,3334.1875,7773.5625
3042.76158,3336.0625,7776.3125
3050.583056,3337.25,7780.875
3058.404532,3338.8125,7788.4375
3066.226008,3340.3125,7794.25
3074.047484,3339.0625,7798.75
3081.86896,3340.0625,7802.625
3089.690436,3343.5,7807.0625
3097.511912,3344.25,7812.4375
3105.333388,3343.125,7815.5625
3113.154864,3345.5,7819.6875
3120.97634,3347.375,7826.8125
3128.797816,3347.1875,7831.8125
3136.619292,3348.4375,7838.125
3144.440768,3350.3125,7844.125
3152.262244,3350.75,7850.4375
3160.08372,3353.0,7858.5625
3167.905196,3354.0625,7861.75
3175.726672,3355.0625,7865.375
3183.548148,3355.3125,7868.0
3191.369624,3355.0625,7858.0625
3199.1911,3347.875,7842.3125
3207.012576,3340.125,7809.1875
3214.834052,3329.8125,7767.125
3222.655528,3318.5,7716.0
3230.477004,3304.9375,7659.75
3238.29848,3288.6875,7599.9375
3246.119956,3275.5625,7541.125
3253.941432,3264.0625,7490.9375
3261.762908,3253.0,7442.25
3269.584384,3243.25,7398.875
3277.40586,3234.375,7364.75
3285.227336,3229.1875,7335.0625
3293.048812,3223.5625,7313.25
3300.870288,3221.6875,7292.375
3308.691764,3217.875,7278.9375
3316.51324,3215.0625,7269.375
3324.334716,3214.3125,7262.0
3332.156192,3214.0625,7256.1875
3339.977668,3213.0625,7253.9375
3347.799144,3212.375,7254.9375
3355.62062,3212.375,7252.25
3363.442096,3211.0,7256.0
3371.263572,3214.375,7257.375
3379.085048,3214.5625,7259.5625
3386.906524,3216.0,7263.0625
3394.728,3218.0625,7263.9375
3402.549476,3219.625,7270.4375
3410.370952,3219.0625,7274.5
3418.192428,3221.0,7277.5625
3426.013904,3222.0,7283.6875
3433.83538,3222.125,7290.5
3441.656856,3225.0,7298.1875
3449.478332,3227.9375,7308.5
3457.299808,3230.25,7319.125
3465.121284,3233.0,7331.625
3472.94276,3236.8125,7348.4375
3480.764236,3242.875,7361.875
3488.585712,3245.625,7379.0
3496.407188,3248.875,7396.375
3504.228664,3253.0625,7408.75
3512.05014,3255.875,7424.0625
3519.871616,3258.625,7437.4375
3527.693092,3260.375,7448.9375
3535.514568,3262.5625,7456.0
3543.336044,3264.125,7462.8125
3551.15752,3265.25,7467.3125
3558.978996,3265.875,7472.1875
3566.800472,3265.4375,7474.3125
3574.621948,3267.5,7475.8125
3582.443424,3266.9375,7478.4375
3590.2649,3268.0625,7479.4375
3598.086376,3267.5,7479.0625
3605.907852,3267.6875,7482.1875
3613.729328,3268.4375,7485.5625
3621.550804,3268.8125,7485.0
3629.37228,3270.75,7487.625
3637.193756,3270.6875,7489.0625
3645.015232,3270.6875,7492.75
3652.836708,3272.25,7498.5
3660.658184,3272.4375,7504.4375
3668.47966,3272.375,7508.1875
3676.301136,3275.5,7513.8125
3684.122612,3277.6875,7520.5
3691.944088,3279.3125,7526.375
3699.765564,3278.4375,7533.5625
3707.58704,3280.375,7539.6875
3715.408516,3283.5,7546.5625
3723.229992,3283.375,7554.3125
3731.051468,3284.625,7560.5625
3738.872944,3289.3125,7569.3125
3746.69442,3291.0,7574.75
3754.515896,3292.0625,7583.8125
3762.337372,3293.0625,7592.4375
3770.158848,3296.5625,7601.5
3777.980324,3296.5625,7608.0
3785.8018,3299.0625,7615.0
3793.623276,3300.6875,7624.3125
3801.444752,3301.5,7631.75
3809.266228,3304.8125,7639.375
3817.087704,3305.1875,7647.375
3824.90918,3306.5625,7654.0625
3832.730656,3310.375,7660.6875
3840.552132,3311.8125,7670.6875
3848.373608,3311.75,7675.75
3856.195084,3313.75,7683.625
3864.01656,3314.375,7689.125
3871.838036,3316.375,7695.125
3879.659512,3319.25,7701.8125
3887.480988,3318.875,7706.5625
3895.302464,3321.75,7713.5
3903.12394,3322.4375,7718.3125
3910.945416,3322.375,7724.125
3918.766892,3324.875,7732.25
3926.588368,3327.1875,7738.0
3934.409844,3326.25,7743.625
3942.23132,3327.625,7748.0625
